CustomerID,Recency,Frequency,Monetary,AvgBasket,TotalItems,LogMonetary,LogAvgBasket,LogTotalItems,Churned,Cluster,Segment,ChurnProbability,ChurnRisk,PredictedCLV_GBP,CLV_Band
12346,326,1,77183.6,77183.6,74215,11.253955234248428,11.253955234248428,11.214735039333108,1,2,High-Value,0.354,Low,97059.11,Platinum
12347,2,7,4310.0,23.68131868131868,2458,8.368925174747135,3.2060466287815386,7.807510042216193,0,2,High-Value,0.015,Low,4242.57,Platinum
12348,75,4,1797.24,57.97548387096774,2341,7.494563687769957,4.0771218299394825,7.758760544157663,0,1,Loyal,0.1928,Low,2783.42,Platinum
12349,19,1,1757.55,24.076027397260273,631,7.472244884833674,3.2219123059801262,6.448889394146858,0,1,Loyal,0.4491,Medium,1167.39,Gold
12350,310,1,334.4,19.670588235294115,197,5.815323849389109,3.0287118316967807,5.288267030694535,1,0,At-Risk,0.5252,Medium,401.97,Silver
12352,36,8,2506.04,29.482823529411764,536,7.826858053356098,3.417163362007433,6.285998094508865,0,2,High-Value,0.0632,Low,1916.78,Platinum
12353,204,1,89.0,22.25,20,4.499809670330265,3.1463051320333655,3.044522437723423,1,0,At-Risk,0.8226,High,102.3,Bronze
12354,232,1,1079.4,18.610344827586207,530,6.985086621918461,2.97605722432628,6.274762021241939,1,0,At-Risk,0.4499,Medium,829.82,Gold
12355,214,1,459.4,35.33846153846154,240,6.132095676847728,3.5928767268616704,5.484796933490655,1,0,At-Risk,0.6046,Medium,417.76,Silver
12356,23,3,2811.43,47.65135593220339,1591,7.941804157314053,3.8846796794091576,7.372746366404328,0,2,High-Value,0.3008,Low,2700.73,Platinum
12357,33,1,6207.67,47.38679389312977,2708,8.733701981297274,3.8792269230435794,7.904334842085095,0,2,High-Value,0.3195,Low,4292.39,Platinum
12358,2,2,1168.06,61.47684210526315,248,7.063955286074528,4.13479596176473,5.517452896464707,0,1,Loyal,0.3514,Low,870.97,Gold
12359,58,4,6310.03,25.75522448979592,1609,8.750054175177759,3.2867297623016394,7.383989457978509,0,2,High-Value,0.1272,Low,2307.02,Platinum
12360,52,3,2662.06,20.63612403100775,1165,7.887231116540211,3.074364326614664,7.061334366910438,0,2,High-Value,0.1948,Low,1918.15,Platinum
12361,287,1,189.9,18.99,91,5.251749730731702,2.995232148512309,4.5217885770490405,1,0,At-Risk,0.6549,Medium,223.01,Bronze
12362,3,10,5226.23,19.647481203007516,2229,8.56163678004062,3.0275933363261256,7.709756864454165,0,2,High-Value,0.0074,Low,4142.13,Platinum
12363,110,2,552.0,24.0,408,6.315358001522335,3.218875824868201,6.013715156042802,1,1,Loyal,0.4483,Medium,799.65,Gold
12364,8,4,1313.1,15.448235294117646,1506,7.180907299649593,2.8002181945034623,7.317876198626496,0,1,Loyal,0.1449,Low,1912.57,Platinum
12365,291,2,641.38,29.15363636363636,174,6.465180028897591,3.4063055249763377,5.1647859739235145,1,0,At-Risk,0.5213,Medium,395.82,Silver
12367,4,1,168.9,15.354545454545455,173,5.135210028677887,2.794505868158117,5.159055299214529,0,1,Loyal,0.3402,Low,231.11,Bronze
12370,51,4,3541.94,21.33698795180723,2352,8.172712169921061,3.1062439569685116,7.763446388727362,0,2,High-Value,0.0749,Low,3568.41,Platinum
12371,45,2,1887.96,29.96761904761905,591,7.543781692052325,3.432942111714894,6.3835066348840055,0,1,Loyal,0.3485,Low,1059.89,Gold
12372,72,3,1298.04,24.962307692307693,794,7.169380809114136,3.2566457820417285,6.678342114654332,0,1,Loyal,0.2323,Low,1263.47,Gold
12373,311,1,364.6,26.042857142857144,197,5.901539839579995,3.297422909159964,5.288267030694535,1,0,At-Risk,0.5778,Medium,417.37,Silver
12374,25,1,742.9300000000001,22.513030303030305,342,6.6119469443852195,3.1575547484623487,5.8377304471659395,0,1,Loyal,0.3805,Low,571.7,Silver
12375,11,2,457.5,26.91176470588235,178,6.127960291696519,3.3290482739937666,5.187385805840755,0,1,Loyal,0.5017,Medium,362.96,Silver
12377,315,2,1628.12,21.144415584415583,944,7.395795270713971,3.097585346618962,6.851184927493743,1,0,At-Risk,0.4979,Medium,1232.64,Gold
12378,130,1,4008.62,18.30420091324201,2529,8.29645175271804,2.96032273612404,7.835974581721566,1,2,High-Value,0.5345,Medium,3095.6,Platinum
12379,82,2,852.24,21.306,407,6.749040867823617,3.104855700572345,6.0112671744041615,0,1,Loyal,0.3501,Low,804.08,Gold
12380,22,4,2724.81,26.20009615384615,1127,7.910520910634419,3.3032205083635766,7.028201432058005,0,2,High-Value,0.1695,Low,1874.55,Platinum
12381,5,5,1845.31,21.21045977011494,808,7.520944331624911,3.100563338732817,6.695798917058491,0,1,Loyal,0.1396,Low,1676.78,Platinum
12383,185,5,1850.56,18.69252525252525,1532,7.523783805985769,2.980239134936795,7.334981878871814,1,1,Loyal,0.1597,Low,2246.56,Platinum
12384,29,2,585.27,21.676666666666662,126,6.373780434317173,3.1213364956888596,4.844187086458591,0,1,Loyal,0.4364,Medium,306.91,Silver
12386,338,2,401.9,40.19,354,5.998688392197302,3.718195508447989,5.872117789475416,1,0,At-Risk,0.513,Medium,512.79,Silver
12388,16,6,2780.66,27.8066,1462,7.930803150780256,3.3606045275538974,7.288244401020124,0,2,High-Value,0.0878,Low,2594.24,Platinum
12390,80,1,549.84,17.1825,353,6.311444385858925,2.900459593046558,5.869296913133774,0,1,Loyal,0.4055,Medium,563.79,Silver
12391,22,1,439.66,4.72752688172043,293,6.0882736030360425,1.7452838287819774,5.683579767338681,0,1,Loyal,0.3545,Low,389.66,Silver
12393,72,4,1582.6,24.728125,816,7.367456015231976,3.247584751504654,6.705639094860003,0,1,Loyal,0.173,Low,1393.45,Gold
12394,64,2,1272.48,47.12888888888889,819,7.149508589545504,3.8738825974239592,6.709304340258298,0,1,Loyal,0.2869,Low,1374.63,Gold
12395,19,12,3018.63,19.350192307692307,2118,8.012889586306857,3.013090361853403,7.6586995582682995,0,2,High-Value,0.0111,Low,3500.04,Platinum
12397,36,2,2409.9,19.126190476190477,1263,7.7877554007552545,3.002021975651514,7.142036574706803,0,1,Loyal,0.2412,Low,2075.35,Platinum
12398,46,1,1635.66,19.24305882352941,1394,7.4004128587924045,3.0078119606453666,7.240649694255466,0,1,Loyal,0.3441,Low,1884.8,Platinum
12399,119,4,1108.65,18.790677966101697,1178,7.011799929268738,2.9852110170419164,7.072421900537371,1,1,Loyal,0.2516,Low,1676.97,Platinum
12401,303,1,84.3,16.86,11,4.446174454497633,2.882563575448353,2.4849066497880004,1,0,At-Risk,0.8396,High,39.27,Bronze
12402,323,1,225.6,20.509090909090908,94,5.423186348593906,3.068475678745916,4.553876891600541,1,0,At-Risk,0.6188,Medium,216.34,Bronze
12403,50,1,427.7,85.53999999999999,96,6.0607573736039315,4.460606734796738,4.574710978503383,0,1,Loyal,0.5381,Medium,219.16,Bronze
12405,149,1,1710.39,31.67388888888889,857,7.445061184797548,3.48657625400139,6.754604099487962,1,1,Loyal,0.5657,Medium,1210.65,Gold
12406,22,2,3415.3,32.52666666666667,1818,8.136313373066384,3.512341142075709,7.506042178518122,0,2,High-Value,0.2351,Low,2856.88,Platinum
12407,50,5,1708.12,22.183376623376624,1416,7.443733897151405,3.1434354969911857,7.256297239690681,0,1,Loyal,0.0769,Low,2200.71,Platinum
12408,33,5,2888.55,27.51,1409,7.968856059639959,3.3502549029245805,7.251344983372214,0,2,High-Value,0.0818,Low,2324.76,Platinum
12409,79,3,11072.67,101.58412844036695,5551,9.312325497408466,4.630683227206711,8.62191350218664,0,2,High-Value,0.1334,Low,6696.47,Platinum
12410,309,2,693.3299999999999,26.666538461538455,211,6.542947351813216,3.3202236851974547,5.356586274672012,1,0,At-Risk,0.5724,Medium,451.91,Silver
12412,75,3,1226.88,20.112786885245903,829,7.1130443840624835,3.0498788704487443,6.721425700790643,0,1,Loyal,0.2268,Low,1282.57,Gold
12413,67,3,758.1,19.95,286,6.632133521022722,3.0421386463681466,5.659482215759621,0,1,Loyal,0.2855,Low,636.62,Silver
12414,217,3,562.41,31.244999999999997,300,6.334007604663525,3.4733629924623406,5.707110264748875,1,0,At-Risk,0.3257,Low,600.38,Silver
12415,24,21,124914.53,174.95032212885152,77374,11.735393027855736,5.1702016945635965,11.256419009986898,0,2,High-Value,0.0037,Low,127964.54,Platinum
12417,3,9,3649.1,19.005729166666665,1552,8.202509843461513,2.9960186908659696,7.347943823148687,0,2,High-Value,0.0702,Low,2664.06,Platinum
12418,113,1,668.58,19.664117647058823,407,6.506650650150935,3.0283987491115765,6.0112671744041615,1,1,Loyal,0.4177,Medium,657.99,Gold
12420,64,1,600.39,20.70310344827586,345,6.3992436425478765,3.0774552663701726,5.846438775057725,0,1,Loyal,0.4075,Medium,613.89,Silver
12421,16,4,807.04,17.93422222222222,484,6.694611562246261,2.940970984313764,6.184148890937483,0,1,Loyal,0.1866,Low,952.79,Gold
12422,96,3,803.5600000000001,20.604102564102565,370,6.690295544136225,3.0728832301782982,5.916202062607435,1,1,Loyal,0.3436,Low,766.05,Gold
12423,1,8,1859.31,14.87448,1339,7.528498419486568,2.764712788336757,7.200424892944957,0,2,High-Value,0.0357,Low,2047.86,Platinum
12424,163,2,1760.96,58.69866666666667,740,7.474182104762846,4.0893096862574705,6.608000625296087,1,1,Loyal,0.5469,Medium,1456.88,Gold
12425,78,1,777.2,21.58888888888889,496,6.6569835605504535,3.1174581432980815,6.208590026096629,0,1,Loyal,0.3247,Low,652.05,Silver
12426,195,1,582.73,19.424333333333333,258,6.369438547154207,3.016727000474497,5.556828061699537,1,0,At-Risk,0.535,Medium,421.54,Silver
12427,22,3,825.8,26.638709677419353,533,6.717562827807613,3.3192173146483928,6.280395838960195,0,1,Loyal,0.2838,Low,955.73,Gold
12428,26,9,7956.46,27.062789115646257,3536,8.981865132439246,3.334444468011407,8.17103418920548,0,2,High-Value,0.0149,Low,6094.09,Platinum
12429,9,4,3750.4,38.66391752577319,1557,8.22988438262624,3.680441895968698,7.351158226430694,0,2,High-Value,0.131,Low,2839.11,Platinum
12430,43,1,256.4,23.30909090909091,117,5.5506312951620265,3.190850391869472,4.770684624465665,0,1,Loyal,0.611,Medium,274.18,Bronze
12431,36,15,6419.95,27.43568376068376,2896,8.767321360814657,3.347644826915362,7.9714309977693505,0,2,High-Value,0.0013,Low,5069.75,Platinum
12432,43,5,5059.32,46.84555555555555,1801,8.529185001388596,3.8679782307335806,7.496652438168283,0,2,High-Value,0.0418,Low,2838.84,Platinum
12433,1,7,13375.87,31.847309523809525,11071,9.50128237507538,3.491869839713755,9.31217467785745,0,2,High-Value,0.0341,Low,13179.84,Platinum
12434,85,2,806.14,16.122799999999998,394,6.6934971352559,2.8404109087423928,5.978885764901122,0,1,Loyal,0.2921,Low,656.9,Gold
12435,80,2,7829.89,217.49694444444447,2055,8.965831447914955,5.386772030201913,7.628517626575055,0,2,High-Value,0.4985,Medium,1661.51,Platinum
12436,100,1,509.01,31.813125,211,6.234430333369278,3.4908285877894865,5.356586274672012,1,1,Loyal,0.6184,Medium,401.2,Silver
12437,2,18,4951.41,24.88145728643216,2922,8.507629605767502,3.2535267774149355,7.980365765111246,0,2,High-Value,0.0013,Low,5135.39,Platinum
12438,14,2,2906.85,29.66173469387755,1180,7.975169255479829,3.4230154502475263,7.074116816197362,0,2,High-Value,0.2357,Low,2117.47,Platinum
12441,367,1,173.55,15.77727272727273,121,5.162211233551045,2.8200251566776373,4.804021044733257,1,0,At-Risk,0.6683,Medium,212.56,Bronze
12442,3,1,172.06,14.338333333333331,182,5.153638355178593,2.7303551416227103,5.209486152841421,0,1,Loyal,0.3067,Low,222.91,Bronze
12444,21,5,5005.46,28.44011363636364,1153,8.518484357502437,3.382358153784056,7.050989447068045,0,2,High-Value,0.1219,Low,2666.49,Platinum
12445,22,1,133.4,33.35,62,4.900820428089049,3.536602018668358,4.143134726391533,0,1,Loyal,0.6223,Medium,216.43,Bronze
12446,58,1,1002.31,17.584385964912283,351,6.9110598129904375,2.922321763919698,5.863631175598097,0,1,Loyal,0.4064,Medium,616.06,Silver
12447,243,1,476.49,18.326538461538465,190,6.168543217293113,2.961479201216219,5.25227342804663,1,0,At-Risk,0.5206,Medium,387.3,Silver
12448,44,1,449.45,20.429545454545455,243,6.110247083097449,3.06477059855337,5.497168225293202,0,1,Loyal,0.4816,Medium,445.83,Silver
12449,22,4,4067.29,21.294712041884814,1553,8.310978042729836,3.104349522180144,7.348587530927593,0,2,High-Value,0.153,Low,2626.11,Platinum
12450,156,2,197.88,24.735,128,5.292701627762401,3.2478519331047178,4.859812404361672,1,0,At-Risk,0.5452,Medium,296.14,Bronze
12451,11,5,9035.52,25.524067796610172,6575,9.109029423519525,3.2780525395510915,8.791181936736017,0,2,High-Value,0.0409,Low,7216.62,Platinum
12452,17,2,430.57,19.571363636363635,185,6.067429722163682,3.0238999939500486,5.225746673713202,0,1,Loyal,0.4117,Medium,366.09,Silver
12453,134,1,707.09,16.443953488372095,473,6.562571204258897,2.85899308363737,6.161207321695077,1,1,Loyal,0.4433,Medium,632.23,Silver
12454,56,1,3528.34,235.22266666666667,1006,8.168866163607964,5.464774863031448,6.914730892718563,0,2,High-Value,0.2707,Low,2194.47,Platinum
